"filename", "language", "YAML", "JSON", "Markdown", "JavaScript", "HTML", "JSON with Comments", "CSS", "JavaScript React", "XML", "comment", "blank", "total"
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\assets\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, -462, 0, 0, -17, -69, -548
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Article.js", "JavaScript", 0, 0, 0, -61, 0, 0, 0, 0, 0, 0, -2, -63
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Avatar.js", "JavaScript", 0, 0, 0, -48, 0, 0, 0, 0, 0, 0, -2, -50
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Breadcrumbs.js", "JavaScript", 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, -2, -30
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Chart\Bar.js", "JavaScript", 0, 0, 0, -84, 0, 0, 0, 0, 0, 0, -2, -86
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Chart\Line.js", "JavaScript", 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, -2, -87
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Chart\index.js", "JavaScript", 0, 0, 0, -123, 0, 0, 0, 0, 0, 0, -4, -127
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Label\Create.js", "JavaScript", 0, 0, 0, -185, 0, 0, 0, 0, 0, 0, -6, -191
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Label\index.js", "JavaScript", 0, 0, 0, -202, 0, 0, 0, 0, 0, -6, -13, -221
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\Table.js", "JavaScript", 0, 0, 0, -335, 0, 0, 0, 0, 0, -4, -20, -359
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Content\index.js", "JavaScript", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, -2, -23
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\components\Sider\index.js", "JavaScript", 0, 0, 0, -57, 0, 0, 0, 0, 0, -26, -2, -85
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\index.js", "JavaScript", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -2, -10
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\pages\App.js", "JavaScript", 0, 0, 0, -67, 0, 0, 0, 0, 0, 0, -4, -71
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\pages\Login\Form.js", "JavaScript", 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, -4, -90
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\pages\Login\index.js", "JavaScript", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, -2, -20
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\router.js", "JavaScript", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, -1, -19
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\store\index.js", "JavaScript", 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -3, -15
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\template\chart.html", "HTML", 0, 0, 0, 0, -67, 0, 0, 0, 0, 0, -7, -74
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\template\chart.js", "JavaScript", 0, 0, 0, -69, 0, 0, 0, 0, 0, 0, -6, -75
"e:\Class\大四上\web\CareFreeJourney\packages\ManageClient\src\template\index.html", "HTML", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, -1, -11
"e:\Class\大四上\web\CareFreeJourney\pnpm-lock.yaml", "YAML", -10608, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1279, -11887
"e:\Class\大四上\web\CareFreeJourney\pnpm-workspace.yaml", "YAML", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"Total", "-", -10610, -149, -99, -7049, -120, -50, -5304, -375, -39, -429, -2911, -27135
